,x,y,type
152,113.10415,13.727165,disadvantaged user
153,113.04513,20.161478,disadvantaged user
154,-19.715939,-66.04811,disadvantaged user
155,-47.33712,4.8271723,disadvantaged user
156,106.155174,7.6647067,disadvantaged user
157,114.89404,16.639696,disadvantaged user
158,46.583157,-15.512054,disadvantaged user
159,110.61376,13.626753,disadvantaged user
160,112.9375,19.351576,disadvantaged user
161,-13.806823,9.441371,disadvantaged user
162,111.06165,19.760084,disadvantaged user
163,114.52803,15.91398,disadvantaged user
164,110.972984,18.837856,disadvantaged user
165,113.610275,21.646425,disadvantaged user
166,112.073425,26.740177,disadvantaged user
167,-52.306522,28.939867,disadvantaged user
168,110.83545,16.12954,disadvantaged user
169,-0.14166547,2.5716598,disadvantaged user
170,110.59893,25.850843,disadvantaged user
171,-12.746468,32.314484,disadvantaged user
172,-54.35151,15.237225,disadvantaged user
173,112.62388,22.373299,disadvantaged user
174,15.569085,-61.5397,disadvantaged user
175,-0.7202037,29.628683,disadvantaged user
176,111.635315,21.199444,disadvantaged user
177,-55.467144,3.3601117,disadvantaged user
178,111.53817,17.172283,disadvantaged user
179,-44.249123,4.2964034,disadvantaged user
180,-0.9120404,66.15628,disadvantaged user
181,32.28931,18.143484,disadvantaged user
182,112.31003,18.190348,disadvantaged user
183,112.14915,20.46481,disadvantaged user
184,112.11013,9.154448,disadvantaged user
185,8.05555,-3.830896,disadvantaged user
186,102.65084,9.114247,disadvantaged user
187,-5.2223835,18.158325,disadvantaged user
188,113.50497,22.449383,disadvantaged user
189,-16.888775,-41.661327,disadvantaged user
190,112.2164,23.475712,disadvantaged user
191,36.763126,-30.846264,disadvantaged user
192,-41.27483,-44.661873,disadvantaged user
193,-30.016973,66.594734,disadvantaged user
194,113.26928,20.836657,disadvantaged user
195,78.94175,-1.9553344,disadvantaged user
196,-24.430086,72.88171,disadvantaged user
197,-5.782562,-69.39256,disadvantaged user
198,104.48605,7.2097774,disadvantaged user
199,-22.517159,31.13885,disadvantaged user
200,-36.841145,11.293839,disadvantaged user
201,-18.910675,-55.72494,disadvantaged user
202,113.088776,22.124481,disadvantaged user
203,-29.609886,-96.05195,disadvantaged user
204,-35.13389,9.39358,disadvantaged user
205,112.80361,21.831064,disadvantaged user
206,109.82144,11.510622,disadvantaged user
207,3.9133842,-38.792313,disadvantaged user
208,19.843956,1.5234526,disadvantaged user
209,-16.40331,97.98825,disadvantaged user
210,-59.21418,41.03421,disadvantaged user
211,6.8864403,72.18173,disadvantaged user
212,112.749825,24.146791,disadvantaged user
213,37.94988,-8.624221,disadvantaged user
214,-28.270088,20.985203,disadvantaged user
215,103.397285,-2.0952964,disadvantaged user
216,107.18888,5.0484934,disadvantaged user
217,-53.894962,35.56383,disadvantaged user
218,110.61376,13.626753,disadvantaged user
219,-29.594988,-43.05757,disadvantaged user
220,36.001446,0.010400124,disadvantaged user
221,11.466952,-38.879326,disadvantaged user
222,8.6710415,58.692265,disadvantaged user
223,110.23494,3.7870133,disadvantaged user
224,109.70067,13.785931,disadvantaged user
225,-13.27018,95.33578,disadvantaged user
226,112.67826,18.981453,disadvantaged user
227,-5.3830304,42.634605,disadvantaged user
228,79.13779,0.8984444,disadvantaged user
229,-31.014341,-95.54168,disadvantaged user
230,113.65765,19.534414,disadvantaged user
231,-3.647071,-7.280766,disadvantaged user
232,111.497604,19.315695,disadvantaged user
233,-53.16553,17.951054,disadvantaged user
234,105.577614,9.731797,disadvantaged user
235,30.887428,-45.530293,disadvantaged user
236,104.01145,7.616334,disadvantaged user
237,105.54926,8.12496,disadvantaged user
238,-10.920627,-40.64489,disadvantaged user
239,-16.84949,96.09617,disadvantaged user
240,110.27673,7.599129,disadvantaged user
241,-28.0869,-89.06457,disadvantaged user
242,-48.913296,-22.916084,disadvantaged user
243,-45.58177,6.483483,disadvantaged user
244,12.876541,1.4736917,disadvantaged user
245,115.55348,23.420195,disadvantaged user
246,-3.9216385,-47.973072,disadvantaged user
247,18.949713,-0.5022169,disadvantaged user
248,-29.36048,-35.52378,disadvantaged user
249,92.21283,-2.6025448,disadvantaged user
250,15.488884,-35.831184,disadvantaged user
251,113.14322,23.831661,disadvantaged user
252,-59.90056,41.024506,disadvantaged user
253,24.232805,-3.069774,disadvantaged user
254,-55.410133,16.743639,disadvantaged user
255,-14.328031,45.024384,disadvantaged user
256,106.21015,-0.53612727,disadvantaged user
257,25.40802,-19.956371,disadvantaged user
258,114.52803,15.91398,disadvantaged user
259,-21.542418,-14.32015,disadvantaged user
260,3.762983,-13.972676,disadvantaged user
261,-20.733072,-9.841369,disadvantaged user
262,-16.859718,50.63707,disadvantaged user
263,-48.30054,11.5688,disadvantaged user
264,-37.685863,28.4318,disadvantaged user
265,29.176523,-5.300525,disadvantaged user
266,-30.516287,-12.044865,disadvantaged user
267,-12.436294,-42.10746,disadvantaged user
268,-16.215519,2.2082415,disadvantaged user
269,-30.516287,-12.044865,disadvantaged user
270,111.61575,8.174025,disadvantaged user
271,14.971986,-67.67301,disadvantaged user
272,-68.317245,-6.0160437,disadvantaged user
273,96.63457,3.1358924,disadvantaged user
274,-46.904316,2.4755154,disadvantaged user
275,-7.0798483,68.270584,disadvantaged user
276,108.013405,5.778884,disadvantaged user
277,-36.841145,11.293839,disadvantaged user
278,36.01176,-29.057325,disadvantaged user
279,38.1217,9.8756485,disadvantaged user
280,19.152142,-17.66107,disadvantaged user
281,109.68965,16.126583,disadvantaged user
282,3.1530316,-6.455328,disadvantaged user
283,-20.357275,-38.684505,disadvantaged user
284,91.112045,-1.2748641,disadvantaged user
285,34.13107,-13.075843,disadvantaged user
286,-14.098638,-72.93992,disadvantaged user
287,-18.501802,-7.7805,disadvantaged user
288,6.6665854,-16.540243,disadvantaged user
289,-6.4188986,-36.258602,disadvantaged user
290,37.94988,-8.624221,disadvantaged user
291,-3.16227,-34.53909,disadvantaged user
292,110.12385,20.904446,disadvantaged user
293,115.096016,20.532026,disadvantaged user
294,-11.85126,-19.47474,disadvantaged user
295,108.89983,14.369725,disadvantaged user
296,108.64675,12.185933,disadvantaged user
297,-23.991573,86.26954,disadvantaged user
298,98.86365,5.456021,disadvantaged user
299,9.394218,71.92532,disadvantaged user
300,93.16279,4.539474,disadvantaged user
301,77.02246,-3.5896869,disadvantaged user
302,106.45827,4.9597206,disadvantaged user
303,110.860985,21.234406,disadvantaged user
304,-9.893059,-21.372467,disadvantaged user
305,-60.29618,41.424873,disadvantaged user
306,-31.6851,53.286194,disadvantaged user
307,56.72399,4.593562,disadvantaged user
308,41.10784,28.888578,disadvantaged user
309,-17.364265,91.09156,disadvantaged user
310,-39.828953,-25.679613,disadvantaged user
311,-64.0395,-23.83052,disadvantaged user
312,78.94175,-1.9553344,disadvantaged user
313,-31.113697,42.52595,disadvantaged user
314,-6.134408,-18.949326,disadvantaged user
315,115.23076,25.860762,disadvantaged user
316,34.13107,-13.075843,disadvantaged user
317,-16.152897,81.209236,disadvantaged user
318,-24.30978,-4.546573,disadvantaged user
319,7.341286,-52.572292,disadvantaged user
320,-19.76675,-16.39577,disadvantaged user
321,-44.442158,32.03624,disadvantaged user
322,111.76284,9.831673,disadvantaged user
323,-14.0882225,97.40754,disadvantaged user
324,111.2828,5.64471,disadvantaged user
325,-29.699709,-95.40387,disadvantaged user
326,-35.42374,-6.2739058,disadvantaged user
327,-45.08722,30.571459,disadvantaged user
328,106.41057,6.178232,disadvantaged user
329,37.743855,-62.663643,disadvantaged user
330,110.23494,3.7870133,disadvantaged user
331,-44.39988,-4.0949426,disadvantaged user
332,-55.751488,0.21720906,disadvantaged user
333,-63.85394,17.668009,disadvantaged user
334,106.81959,9.839546,disadvantaged user
335,110.7747,17.54268,disadvantaged user
336,-64.0395,-23.83052,disadvantaged user
337,18.16932,-67.343346,disadvantaged user
338,92.49481,6.0371976,disadvantaged user
339,-12.739936,93.74553,disadvantaged user
340,-21.179981,-8.189238,disadvantaged user
341,-18.543064,44.504032,disadvantaged user
342,19.634071,60.09939,disadvantaged user
343,36.001446,0.010400124,disadvantaged user
344,8.550079,74.60554,disadvantaged user
345,92.654076,4.6109314,disadvantaged user
346,106.290436,7.8402762,disadvantaged user
347,8.305047,70.47759,disadvantaged user
348,40.494587,-24.184898,disadvantaged user
349,95.51841,4.9623685,disadvantaged user
350,106.16329,6.2489014,disadvantaged user
351,26.991953,-13.828189,disadvantaged user
352,-22.758656,38.74218,disadvantaged user
353,-31.390518,13.256571,disadvantaged user
354,93.4743,-1.8855159,disadvantaged user
355,7.9863667,3.89589,disadvantaged user
356,-9.846866,12.564715,disadvantaged user
357,-39.167995,-41.355244,disadvantaged user
358,102.05505,2.6165814,disadvantaged user
359,7.882419,-4.445398,disadvantaged user
360,88.78705,-3.7447383,disadvantaged user
361,16.416973,-14.730305,disadvantaged user
362,78.48861,10.537053,disadvantaged user
363,-0.45156735,68.88176,disadvantaged user
364,-55.6422,7.0196104,disadvantaged user
365,57.425167,0.6915657,disadvantaged user
366,-21.542418,-14.32015,disadvantaged user
367,-17.17162,96.55855,disadvantaged user
368,103.397285,-2.0952964,disadvantaged user
369,113.624535,20.779202,disadvantaged user
370,-19.355667,58.06605,disadvantaged user
371,8.6710415,58.692265,disadvantaged user
372,-7.76122,-47.816246,disadvantaged user
373,-53.89636,7.961415,disadvantaged user
374,-15.771332,-65.65618,disadvantaged user
375,112.81617,23.536518,disadvantaged user
376,16.416973,-14.730305,disadvantaged user
377,28.245598,-63.225254,disadvantaged user
378,95.51841,4.9623685,disadvantaged user
379,110.16387,16.214205,disadvantaged user
380,-16.105608,-40.675556,disadvantaged user
381,0.09284752,33.750023,disadvantaged user
382,105.94771,5.8186035,disadvantaged user
383,3.762983,-13.972676,disadvantaged user
384,-11.811078,64.040886,disadvantaged user
385,-17.683125,92.6178,disadvantaged user
386,12.886566,-15.675779,disadvantaged user
387,-57.27105,14.511293,disadvantaged user
388,-8.565403,-54.081486,disadvantaged user
389,12.886566,-15.675779,disadvantaged user
390,22.89058,-22.480377,disadvantaged user
391,-14.565871,98.6519,disadvantaged user
392,20.085564,-38.244656,disadvantaged user
393,-56.835957,16.438013,disadvantaged user
394,-6.4188986,-36.258602,disadvantaged user
395,95.77103,-6.14354,disadvantaged user
396,93.64835,-0.2568123,disadvantaged user
397,111.46811,17.442282,disadvantaged user
398,32.33263,-47.140167,disadvantaged user
399,109.16437,11.308566,disadvantaged user
400,111.62403,23.979176,disadvantaged user
401,-34.837234,-11.4908905,disadvantaged user
402,-24.467773,54.193024,disadvantaged user
403,-20.497883,21.73227,disadvantaged user
