,x,y,type
133,-23.53987,12.878444,disadvantaged user
134,0.48967272,24.762882,disadvantaged user
135,48.154182,-26.428686,disadvantaged user
136,84.07585,37.453484,disadvantaged user
137,38.202457,-15.143727,disadvantaged user
138,-13.723555,78.50013,disadvantaged user
139,94.33649,21.928436,disadvantaged user
140,87.54007,36.43206,disadvantaged user
141,-60.400963,-0.24497594,disadvantaged user
142,-29.056387,-37.622772,disadvantaged user
143,21.905388,-41.16923,disadvantaged user
144,91.36207,34.802704,disadvantaged user
145,42.326656,-11.997014,disadvantaged user
146,-17.780617,-24.539303,disadvantaged user
147,98.20689,27.055725,disadvantaged user
148,8.031427,29.558876,disadvantaged user
149,-25.703894,-11.393222,disadvantaged user
150,89.206184,33.437378,disadvantaged user
151,-1.071724,-45.768944,disadvantaged user
152,-9.517287,-43.390453,disadvantaged user
153,-55.091488,-33.78457,disadvantaged user
154,-1.3626633,-60.786488,disadvantaged user
155,11.162476,-31.754251,disadvantaged user
156,15.772332,-18.272614,disadvantaged user
157,-32.09176,61.107025,disadvantaged user
158,93.1451,33.176224,disadvantaged user
159,88.276825,33.776134,disadvantaged user
160,85.88582,37.87233,disadvantaged user
161,98.041084,28.216614,disadvantaged user
162,93.62603,34.535828,disadvantaged user
163,-4.8609767,-58.15233,disadvantaged user
164,86.30611,37.824875,disadvantaged user
165,2.9405196,-35.983902,disadvantaged user
166,92.31845,24.84118,disadvantaged user
167,3.8451076,-83.90554,disadvantaged user
168,87.197235,36.350224,disadvantaged user
169,-30.579208,5.036824,disadvantaged user
170,88.71245,35.71337,disadvantaged user
171,-50.31395,-41.145847,disadvantaged user
172,-18.649942,3.371196,disadvantaged user
173,35.626087,10.545882,disadvantaged user
174,54.35839,-24.621754,disadvantaged user
175,61.36761,-68.53037,disadvantaged user
176,28.561548,-26.52963,disadvantaged user
177,-32.158623,89.49185,disadvantaged user
178,88.72134,34.94987,disadvantaged user
179,48.70201,-21.02,disadvantaged user
180,19.190313,24.69192,disadvantaged user
181,51.93382,-62.48521,disadvantaged user
182,-15.357036,-49.96507,disadvantaged user
183,11.780613,-15.6263895,disadvantaged user
184,91.357834,29.961025,disadvantaged user
185,89.1284,32.39385,disadvantaged user
186,90.78296,33.438446,disadvantaged user
187,-29.105196,-37.603184,disadvantaged user
188,94.40484,28.195662,disadvantaged user
189,30.826727,10.980696,disadvantaged user
190,87.36938,36.762894,disadvantaged user
191,92.20828,33.59453,disadvantaged user
192,13.418971,-53.311092,disadvantaged user
193,31.883173,-36.966686,disadvantaged user
194,86.308136,36.48974,disadvantaged user
195,93.58314,30.857885,disadvantaged user
196,32.997444,-12.712168,disadvantaged user
197,62.92479,-7.5115924,disadvantaged user
198,83.29984,-1.8973362,disadvantaged user
199,38.618866,-14.357729,disadvantaged user
200,98.10407,17.934303,disadvantaged user
201,6.62883,23.711155,disadvantaged user
202,91.47957,34.104664,disadvantaged user
203,-35.458714,87.225975,disadvantaged user
204,-25.410158,-39.27494,disadvantaged user
205,89.941315,33.874977,disadvantaged user
206,91.56895,30.889105,disadvantaged user
207,91.235,34.542522,disadvantaged user
208,-32.30453,-38.294964,disadvantaged user
209,-32.404255,-45.245064,disadvantaged user
210,87.05239,34.796993,disadvantaged user
211,24.460909,-44.85975,disadvantaged user
212,38.252987,14.453331,disadvantaged user
213,24.651535,-21.176464,disadvantaged user
214,89.94254,32.68343,disadvantaged user
215,-35.96709,87.16556,disadvantaged user
216,2.1134534,-20.173672,disadvantaged user
217,-74.75166,28.065536,disadvantaged user
218,95.22077,20.770666,disadvantaged user
219,101.023476,13.933833,disadvantaged user
220,-1.7391437,-19.449312,disadvantaged user
221,-40.616726,-35.012764,disadvantaged user
222,93.79771,26.566456,disadvantaged user
223,2.6026018,-24.589428,disadvantaged user
224,-38.44749,-13.808715,disadvantaged user
225,-32.458313,92.44504,disadvantaged user
226,88.93505,34.00723,disadvantaged user
227,-30.118174,88.952934,disadvantaged user
228,93.011604,32.342247,disadvantaged user
229,90.97593,28.066353,disadvantaged user
230,93.04181,24.609182,disadvantaged user
231,12.6366625,10.629671,disadvantaged user
232,95.80649,24.32281,disadvantaged user
233,-29.056387,-37.622772,disadvantaged user
234,93.039604,29.218971,disadvantaged user
235,-45.678265,14.9762335,disadvantaged user
236,92.20828,33.59453,disadvantaged user
237,90.90815,17.899418,disadvantaged user
238,-49.144924,62.42791,disadvantaged user
239,13.108625,27.406097,disadvantaged user
240,89.37862,31.533987,disadvantaged user
